product,draw_id,draw_status,effective_date,reason,source_url
bingo18,0160152,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160153,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160154,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160155,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160156,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160157,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160158,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160159,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160160,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160161,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
