product,game_variant,prize_tier,winning_rule,prize_value_vnd,details_json,source_url
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 2,Kết quả quay số có hai số 2,200002,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 2 )"",""Xác định kết quả"":""Kết quả quay số có hai số 2""},""row_index"":4,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171706
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 2,Kết quả quay số có hai số 2,200003,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 3 )"",""Xác định kết quả"":""Kết quả quay số có hai số 2""},""row_index"":4,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171716
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 3,Kết quả quay số có hai số 3,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 3""},""row_index"":7,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 3,Kết quả quay số có hai số 3,2000015,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 15 )"",""Xác định kết quả"":""Kết quả quay số có hai số 3""},""row_index"":7,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171713
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 4,Kết quả quay số có hai số 4,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 4""},""row_index"":10,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 4,Kết quả quay số có hai số 4,200004,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 4 )"",""Xác định kết quả"":""Kết quả quay số có hai số 4""},""row_index"":10,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171704
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 5,Kết quả quay số có hai số 5,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 5""},""row_index"":13,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 5,Kết quả quay số có hai số 5,200007,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 7 )"",""Xác định kết quả"":""Kết quả quay số có hai số 5""},""row_index"":13,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171728
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 5,Kết quả quay số có hai số 5,2000032,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 32 )"",""Xác định kết quả"":""Kết quả quay số có hai số 5""},""row_index"":13,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171707
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 6,Kết quả quay số có hai số 6,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 6""},""row_index"":16,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 6,Kết quả quay số có hai số 6,200001,"{""columns"":{""Giá trị trúng thưởng"":""20.000 ( Số lượng: 1 )"",""Xác định kết quả"":""Kết quả quay số có hai số 6""},""row_index"":16,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171702
