date,venue_id,venue_name,address,requested_latitude,requested_longitude,grid_latitude,grid_longitude,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,weather_model,source
2016-09-26,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.9,24.2,31.7,82,ERA5-Land,open-meteo
2016-09-27,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,28.8,24.5,33.0,82,ERA5-Land,open-meteo
2016-09-28,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,29.0,25.9,33.7,80,ERA5-Land,open-meteo
2016-09-29,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,28.8,25.8,32.9,72,ERA5-Land,open-meteo
2016-09-30,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.1,24.5,30.7,71,ERA5-Land,open-meteo
2016-10-01,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,26.2,23.6,30.0,72,ERA5-Land,open-meteo
2016-10-02,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,26.4,23.0,30.4,73,ERA5-Land,open-meteo
2016-10-03,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.1,22.8,31.4,73,ERA5-Land,open-meteo
2016-10-04,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,28.2,24.3,32.7,78,ERA5-Land,open-meteo
2016-10-05,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.9,25.4,31.5,83,ERA5-Land,open-meteo
2016-10-06,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.7,24.3,31.9,75,ERA5-Land,open-meteo
2016-10-07,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.2,22.5,32.2,73,ERA5-Land,open-meteo
2016-10-08,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,28.0,22.7,33.1,71,ERA5-Land,open-meteo
2016-10-09,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.9,25.0,31.5,69,ERA5-Land,open-meteo
2016-10-10,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.2,23.9,30.9,76,ERA5-Land,open-meteo
2016-10-11,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.5,25.0,31.2,75,ERA5-Land,open-meteo
2016-10-12,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,27.4,24.9,31.3,62,ERA5-Land,open-meteo
